"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"synapse-1.0",16,157,0.101910828,8.8125,"NET","SVM","Y","US",0.505,0.0041,"M&H IR","synapse-1.0",0,0.0041
"synapse-1.1",60,222,0.27027027,2.7,"NET","SVM","Y","US",0.6383,0.2561,"Low IR","synapse-1.1",-0.0164,0.2725
"synapse-1.2",86,256,0.3359375,1.976744186,"NET","SVM","Y","US",0.6282,0.251,"Low IR","synapse-1.2",0.2514,-0.000400000000000011
"velocity-1.6",78,229,0.340611354,1.935897436,"NET","SVM","Y","US",0.6568,0.3105,"Low IR","velocity-1.6",0.2841,0.0264
"xerces-1.2",71,440,0.161363636,5.197183099,"NET","SVM","Y","US",0.782,0.51,"M&H IR","xerces-1.2",0.3987,0.1113
"xerces-1.3",69,453,0.152317881,5.565217391,"NET","SVM","Y","US",0.6686,0.2543,"M&H IR","xerces-1.3",0.0365,0.2178
"ant-1.3",20,125,0.16,5.25,"PROC","SVM","Y","MYSMOTE",0.7107,0.3233,"M&H IR","ant-1.3",-0.0013,0.3246
"ant-1.4",40,178,0.224719101,3.45,"PROC","SVM","Y","MYSMOTE",0.5428,0.0346,"Low IR","ant-1.4",-0.0013,0.0359
"ant-1.5",32,293,0.109215017,8.15625,"PROC","SVM","Y","MYSMOTE",0.7824,0.3933,"M&H IR","ant-1.5",0,0.3933
"ant-1.6",92,351,0.262108262,2.815217391,"PROC","SVM","Y","MYSMOTE",0.7522,0.4297,"Low IR","ant-1.6",0.3126,0.1171
"camel-1.0",13,339,0.038348083,25.07692308,"PROC","SVM","Y","MYSMOTE",0.801,0.2091,"M&H IR","camel-1.0",0,0.2091
"camel-1.2",216,608,0.355263158,1.814814815,"PROC","SVM","Y","MYSMOTE",0.599,0.2102,"Low IR","camel-1.2",0.0052,0.205
"camel-1.4",145,872,0.166284404,5.013793103,"PROC","SVM","Y","MYSMOTE",0.6736,0.2453,"M&H IR","camel-1.4",0,0.2453
"camel-1.6",188,965,0.194818653,4.132978723,"PROC","SVM","Y","MYSMOTE",0.5511,0.0863,"M&H IR","camel-1.6",0,0.0863
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"PROC","SVM","Y","MYSMOTE",0.7635,0.4439,"Low IR","Eclipse_JDT_Core",0.2753,0.1686
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"PROC","SVM","Y","MYSMOTE",0.6811,0.2559,"M&H IR","Eclipse_PDE_UI",0,0.2559
"Equinox_Framework",129,324,0.398148148,1.511627907,"PROC","SVM","Y","MYSMOTE",0.7742,0.4325,"Low IR","Equinox_Framework",0.3973,0.0352
"ivy-2.0",40,352,0.113636364,7.8,"PROC","SVM","Y","MYSMOTE",0.7999,0.3858,"M&H IR","ivy-2.0",-0.0031,0.3889
"jedit-3.2",90,272,0.330882353,2.022222222,"PROC","SVM","Y","MYSMOTE",0.6797,0.2509,"Low IR","jedit-3.2",0.0756,0.1753
"jedit-4.0",75,306,0.245098039,3.08,"PROC","SVM","Y","MYSMOTE",0.7787,0.4137,"Low IR","jedit-4.0",0.2429,0.1708
"jedit-4.1",79,312,0.253205128,2.949367089,"PROC","SVM","Y","MYSMOTE",0.7809,0.3677,"Low IR","jedit-4.1",0.3072,0.0605000000000001
"jedit-4.2",48,367,0.130790191,6.645833333,"PROC","SVM","Y","MYSMOTE",0.7676,0.4287,"M&H IR","jedit-4.2",0.1612,0.2675
"jedit-4.3",11,492,0.022357724,43.72727273,"PROC","SVM","Y","MYSMOTE",0.771,0.1387,"M&H IR","jedit-4.3",0,0.1387
