"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","MYSMOTE",0.7696,0.3281,"M&H IR","ant-1.3",0.1249,0.2032
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","MYSMOTE",0.829,0.4384,"Low IR","ant-1.4",0.3572,0.0812
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","MYSMOTE",0.8042,0.402,"M&H IR","ant-1.5",0.2919,0.1101
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","MYSMOTE",0.7718,0.3794,"Low IR","ant-1.6",0.3159,0.0635
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","MYSMOTE",0.7609,0.1552,"M&H IR","camel-1.0",-0.0074,0.1626
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","MYSMOTE",0.8164,0.4584,"Low IR","camel-1.2",0.4013,0.0571
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","MYSMOTE",0.8206,0.3918,"M&H IR","camel-1.4",0.3354,0.0564
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","MYSMOTE",0.8396,0.4522,"M&H IR","camel-1.6",0.3964,0.0558
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","MYSMOTE",0.8264,0.4474,"Low IR","Eclipse_JDT_Core",0.4101,0.0373
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","MYSMOTE",0.7467,0.2795,"M&H IR","Eclipse_PDE_UI",0.1971,0.0824
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","MYSMOTE",0.8267,0.4944,"Low IR","Equinox_Framework",0.4371,0.0573
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","MYSMOTE",0.8098,0.37,"M&H IR","ivy-2.0",0.2231,0.1469
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","MYSMOTE",0.9087,0.6665,"Low IR","jedit-3.2",0.6443,0.0222
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","MYSMOTE",0.8392,0.4651,"Low IR","jedit-4.0",0.3725,0.0926
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","MYSMOTE",0.8377,0.4675,"Low IR","jedit-4.1",0.3733,0.0942
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","MYSMOTE",0.8601,0.47,"M&H IR","jedit-4.2",0.4607,0.00929999999999997
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","MYSMOTE",0.8894,0.2157,"M&H IR","jedit-4.3",-0.0015,0.2172
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","MYSMOTE",0.8775,0.5846,"Low IR","log4j-1.0",0.4603,0.1243
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","MYSMOTE",0.7728,0.3098,"M&H IR","Lucene",0.2501,0.0597
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","MYSMOTE",0.7567,0.2829,"M&H IR","Mylyn",0.1646,0.1183
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","MYSMOTE",0.7268,0.2499,"M&H IR","poi-2.0",0.2931,-0.0432
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","MYSMOTE",0.7084,0.2185,"M&H IR","synapse-1.0",0.0024,0.2161
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","MYSMOTE",0.7768,0.4165,"Low IR","synapse-1.1",0.3573,0.0592
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","MYSMOTE",0.8075,0.4639,"Low IR","synapse-1.2",0.3594,0.1045
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","MYSMOTE",0.8072,0.4545,"Low IR","velocity-1.6",0.3716,0.0829
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","MYSMOTE",0.9279,0.628,"M&H IR","xerces-1.2",0.6311,-0.00309999999999999
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","MYSMOTE",0.8327,0.4022,"M&H IR","xerces-1.3",0.4007,0.0015
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","SMOTE",0.6695,0.2906,"M&H IR","ant-1.3",0.1249,0.1657
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","SMOTE",0.7465,0.449,"Low IR","ant-1.4",0.3572,0.0918
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","SMOTE",0.6862,0.3167,"M&H IR","ant-1.5",0.2919,0.0248
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","SMOTE",0.6429,0.3105,"Low IR","ant-1.6",0.3159,-0.00540000000000002
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","SMOTE",0.6082,0.1382,"M&H IR","camel-1.0",-0.0074,0.1456
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","SMOTE",0.7294,0.3984,"Low IR","camel-1.2",0.4013,-0.00290000000000001
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","SMOTE",0.7288,0.3957,"M&H IR","camel-1.4",0.3354,0.0603
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","SMOTE",0.7443,0.4268,"M&H IR","camel-1.6",0.3964,0.0304
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","SMOTE",0.7113,0.3853,"Low IR","Eclipse_JDT_Core",0.4101,-0.0248
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","SMOTE",0.6045,0.1714,"M&H IR","Eclipse_PDE_UI",0.1971,-0.0257
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","SMOTE",0.728,0.4298,"Low IR","Equinox_Framework",0.4371,-0.00729999999999997
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","SMOTE",0.6311,0.2419,"M&H IR","ivy-2.0",0.2231,0.0188
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","SMOTE",0.824,0.6391,"Low IR","jedit-3.2",0.6443,-0.00519999999999998
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","SMOTE",0.7044,0.3849,"Low IR","jedit-4.0",0.3725,0.0124
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","SMOTE",0.7157,0.3984,"Low IR","jedit-4.1",0.3733,0.0251
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","SMOTE",0.731,0.3909,"M&H IR","jedit-4.2",0.4607,-0.0698
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","SMOTE",0.7234,0.2703,"M&H IR","jedit-4.3",-0.0015,0.2718
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","SMOTE",0.7664,0.5192,"Low IR","log4j-1.0",0.4603,0.0589
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","SMOTE",0.6341,0.2163,"M&H IR","Lucene",0.2501,-0.0338
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","SMOTE",0.6534,0.2281,"M&H IR","Mylyn",0.1646,0.0635
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","SMOTE",0.6054,0.2208,"M&H IR","poi-2.0",0.2931,-0.0723
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","SMOTE",0.6157,0.193,"M&H IR","synapse-1.0",0.0024,0.1906
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","SMOTE",0.675,0.3631,"Low IR","synapse-1.1",0.3573,0.00579999999999997
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","SMOTE",0.6911,0.4025,"Low IR","synapse-1.2",0.3594,0.0431
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","SMOTE",0.7057,0.3745,"Low IR","velocity-1.6",0.3716,0.00290000000000001
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","SMOTE",0.8389,0.5928,"M&H IR","xerces-1.2",0.6311,-0.0383
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","SMOTE",0.6976,0.3808,"M&H IR","xerces-1.3",0.4007,-0.0199
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","OS",0.561,0.1446,"M&H IR","ant-1.3",0.1249,0.0197
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","OS",0.72,0.4325,"Low IR","ant-1.4",0.3572,0.0753
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","OS",0.6294,0.2423,"M&H IR","ant-1.5",0.2919,-0.0496
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","OS",0.6322,0.28,"Low IR","ant-1.6",0.3159,-0.0359
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","OS",0.536,0.065,"M&H IR","camel-1.0",-0.0074,0.0724
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","OS",0.7364,0.4137,"Low IR","camel-1.2",0.4013,0.0124
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","OS",0.6702,0.3213,"M&H IR","camel-1.4",0.3354,-0.0141
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","OS",0.6667,0.3352,"M&H IR","camel-1.6",0.3964,-0.0612
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","OS",0.6754,0.3665,"Low IR","Eclipse_JDT_Core",0.4101,-0.0436
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","OS",0.5943,0.1795,"M&H IR","Eclipse_PDE_UI",0.1971,-0.0176
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","OS",0.6965,0.3997,"Low IR","Equinox_Framework",0.4371,-0.0374
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","OS",0.627,0.2306,"M&H IR","ivy-2.0",0.2231,0.00750000000000001
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","OS",0.8112,0.5908,"Low IR","jedit-3.2",0.6443,-0.0535
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","OS",0.7013,0.3879,"Low IR","jedit-4.0",0.3725,0.0154
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","OS",0.6841,0.3676,"Low IR","jedit-4.1",0.3733,-0.00570000000000004
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","OS",0.7069,0.416,"M&H IR","jedit-4.2",0.4607,-0.0447
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","OS",0.6575,0.2296,"M&H IR","jedit-4.3",-0.0015,0.2311
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","OS",0.768,0.5345,"Low IR","log4j-1.0",0.4603,0.0742
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","OS",0.5904,0.2308,"M&H IR","Lucene",0.2501,-0.0193
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","OS",0.5986,0.167,"M&H IR","Mylyn",0.1646,0.00240000000000001
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","OS",0.591,0.2299,"M&H IR","poi-2.0",0.2931,-0.0632
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","OS",0.606,0.1915,"M&H IR","synapse-1.0",0.0024,0.1891
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","OS",0.6374,0.3098,"Low IR","synapse-1.1",0.3573,-0.0475
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","OS",0.7121,0.4174,"Low IR","synapse-1.2",0.3594,0.058
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","OS",0.6763,0.3541,"Low IR","velocity-1.6",0.3716,-0.0175
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","OS",0.7971,0.5708,"M&H IR","xerces-1.2",0.6311,-0.0603
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","OS",0.6921,0.3531,"M&H IR","xerces-1.3",0.4007,-0.0476
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","UOS",0.6079,0.1934,"M&H IR","ant-1.3",0.1249,0.0685
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","UOS",0.7092,0.3488,"Low IR","ant-1.4",0.3572,-0.00840000000000002
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","UOS",0.6763,0.2745,"M&H IR","ant-1.5",0.2919,-0.0174
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","UOS",0.6567,0.2973,"Low IR","ant-1.6",0.3159,-0.0186
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","UOS",0.5827,0.1128,"M&H IR","camel-1.0",-0.0074,0.1202
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","UOS",0.6949,0.3383,"Low IR","camel-1.2",0.4013,-0.063
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","UOS",0.6854,0.3025,"M&H IR","camel-1.4",0.3354,-0.0329
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","UOS",0.701,0.3432,"M&H IR","camel-1.6",0.3964,-0.0532
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","UOS",0.702,0.3608,"Low IR","Eclipse_JDT_Core",0.4101,-0.0493
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","UOS",0.6156,0.1892,"M&H IR","Eclipse_PDE_UI",0.1971,-0.00789999999999999
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","UOS",0.6953,0.4018,"Low IR","Equinox_Framework",0.4371,-0.0353
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","UOS",0.6479,0.2375,"M&H IR","ivy-2.0",0.2231,0.0144
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","UOS",0.8174,0.613,"Low IR","jedit-3.2",0.6443,-0.0313
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","UOS",0.7169,0.3774,"Low IR","jedit-4.0",0.3725,0.00490000000000002
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","UOS",0.7048,0.3614,"Low IR","jedit-4.1",0.3733,-0.0119
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","UOS",0.7362,0.3747,"M&H IR","jedit-4.2",0.4607,-0.086
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","UOS",0.707,0.24,"M&H IR","jedit-4.3",-0.0015,0.2415
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","UOS",0.757,0.4717,"Low IR","log4j-1.0",0.4603,0.0114
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","UOS",0.6334,0.2203,"M&H IR","Lucene",0.2501,-0.0298
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","UOS",0.6231,0.1911,"M&H IR","Mylyn",0.1646,0.0265
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","UOS",0.6075,0.2133,"M&H IR","poi-2.0",0.2931,-0.0798
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","UOS",0.6314,0.1959,"M&H IR","synapse-1.0",0.0024,0.1935
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","UOS",0.6459,0.2984,"Low IR","synapse-1.1",0.3573,-0.0589
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","UOS",0.6598,0.3234,"Low IR","synapse-1.2",0.3594,-0.036
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","UOS",0.6717,0.3213,"Low IR","velocity-1.6",0.3716,-0.0503
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","UOS",0.8386,0.5901,"M&H IR","xerces-1.2",0.6311,-0.041
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","UOS",0.6942,0.3347,"M&H IR","xerces-1.3",0.4007,-0.066
"ant-1.3",20,125,0.16,5.25,"NET+PROC","C4.5","Y","US",0.6376,0.1956,"M&H IR","ant-1.3",0.1249,0.0707
"ant-1.4",40,178,0.224719101,3.45,"NET+PROC","C4.5","Y","US",0.712,0.3483,"Low IR","ant-1.4",0.3572,-0.00890000000000002
"ant-1.5",32,293,0.109215017,8.15625,"NET+PROC","C4.5","Y","US",0.6973,0.268,"M&H IR","ant-1.5",0.2919,-0.0239
"ant-1.6",92,351,0.262108262,2.815217391,"NET+PROC","C4.5","Y","US",0.6732,0.3255,"Low IR","ant-1.6",0.3159,0.0096
"camel-1.0",13,339,0.038348083,25.07692308,"NET+PROC","C4.5","Y","US",0.6256,0.1075,"M&H IR","camel-1.0",-0.0074,0.1149
"camel-1.2",216,608,0.355263158,1.814814815,"NET+PROC","C4.5","Y","US",0.7028,0.351,"Low IR","camel-1.2",0.4013,-0.0503
"camel-1.4",145,872,0.166284404,5.013793103,"NET+PROC","C4.5","Y","US",0.7118,0.3167,"M&H IR","camel-1.4",0.3354,-0.0187
"camel-1.6",188,965,0.194818653,4.132978723,"NET+PROC","C4.5","Y","US",0.7448,0.421,"M&H IR","camel-1.6",0.3964,0.0246
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"NET+PROC","C4.5","Y","US",0.7164,0.3595,"Low IR","Eclipse_JDT_Core",0.4101,-0.0506
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"NET+PROC","C4.5","Y","US",0.6431,0.2113,"M&H IR","Eclipse_PDE_UI",0.1971,0.0142
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","C4.5","Y","US",0.7222,0.4392,"Low IR","Equinox_Framework",0.4371,0.00209999999999999
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","C4.5","Y","US",0.6908,0.2617,"M&H IR","ivy-2.0",0.2231,0.0386
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","C4.5","Y","US",0.8311,0.6071,"Low IR","jedit-3.2",0.6443,-0.0372
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","C4.5","Y","US",0.737,0.4036,"Low IR","jedit-4.0",0.3725,0.0311
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","C4.5","Y","US",0.7291,0.4009,"Low IR","jedit-4.1",0.3733,0.0276
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","C4.5","Y","US",0.7443,0.3677,"M&H IR","jedit-4.2",0.4607,-0.093
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","C4.5","Y","US",0.7386,0.1538,"M&H IR","jedit-4.3",-0.0015,0.1553
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","C4.5","Y","US",0.742,0.463,"Low IR","log4j-1.0",0.4603,0.00270000000000004
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","C4.5","Y","US",0.6936,0.2531,"M&H IR","Lucene",0.2501,0.003
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","C4.5","Y","US",0.6529,0.2083,"M&H IR","Mylyn",0.1646,0.0437
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","C4.5","Y","US",0.631,0.1716,"M&H IR","poi-2.0",0.2931,-0.1215
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","C4.5","Y","US",0.6743,0.2405,"M&H IR","synapse-1.0",0.0024,0.2381
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","C4.5","Y","US",0.6819,0.3435,"Low IR","synapse-1.1",0.3573,-0.0138
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","C4.5","Y","US",0.6829,0.3528,"Low IR","synapse-1.2",0.3594,-0.00659999999999999
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","C4.5","Y","US",0.7008,0.3561,"Low IR","velocity-1.6",0.3716,-0.0155
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","C4.5","Y","US",0.8238,0.534,"M&H IR","xerces-1.2",0.6311,-0.0971
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","C4.5","Y","US",0.7274,0.3263,"M&H IR","xerces-1.3",0.4007,-0.0744
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8203,0.411,"M&H IR","ant-1.3",0.1396,0.2714
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8299,0.4304,"Low IR","ant-1.4",0.3572,0.0732
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8053,0.41,"M&H IR","ant-1.5",0.315,0.095
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8093,0.4705,"Low IR","ant-1.6",0.417,0.0535
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.765,0.1625,"M&H IR","camel-1.0",-0.0074,0.1699
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8115,0.4513,"Low IR","camel-1.2",0.3928,0.0585
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8379,0.446,"M&H IR","camel-1.4",0.3892,0.0568
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8515,0.4721,"M&H IR","camel-1.6",0.4161,0.056
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8336,0.4718,"Low IR","Eclipse_JDT_Core",0.4124,0.0594
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.7616,0.2881,"M&H IR","Eclipse_PDE_UI",0.1983,0.0898
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8304,0.4847,"Low IR","Equinox_Framework",0.4183,0.0664
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8124,0.3657,"M&H IR","ivy-2.0",0.2075,0.1582
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.9108,0.6558,"Low IR","jedit-3.2",0.6197,0.0361
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8424,0.4885,"Low IR","jedit-4.0",0.3872,0.1013
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8543,0.4713,"Low IR","jedit-4.1",0.3794,0.0919
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8627,0.493,"M&H IR","jedit-4.2",0.4579,0.0351
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.891,0.2204,"M&H IR","jedit-4.3",-0.0013,0.2217
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8668,0.5464,"Low IR","log4j-1.0",0.412,0.1344
"Lucene",64,691,0.092619392,9.796875,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.7762,0.3196,"M&H IR","Lucene",0.2744,0.0452
"Mylyn",245,1862,0.131578947,6.6,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.7749,0.3101,"M&H IR","Mylyn",0.2021,0.108
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.7358,0.2614,"M&H IR","poi-2.0",0.2608,0.000600000000000045
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.7628,0.3171,"M&H IR","synapse-1.0",0.1426,0.1745
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.7966,0.4458,"Low IR","synapse-1.1",0.3709,0.0749
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8121,0.4818,"Low IR","synapse-1.2",0.4585,0.0233
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8039,0.4416,"Low IR","velocity-1.6",0.3823,0.0593
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.9272,0.6246,"M&H IR","xerces-1.2",0.6234,0.00120000000000009
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET+PROC","C4.5","Y","MYSMOTE",0.8579,0.4342,"M&H IR","xerces-1.3",0.4165,0.0177
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","C4.5","Y","SMOTE",0.6663,0.2698,"M&H IR","ant-1.3",0.1396,0.1302
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","C4.5","Y","SMOTE",0.7516,0.4514,"Low IR","ant-1.4",0.3572,0.0942
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","C4.5","Y","SMOTE",0.6725,0.2712,"M&H IR","ant-1.5",0.315,-0.0438
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","C4.5","Y","SMOTE",0.6966,0.4074,"Low IR","ant-1.6",0.417,-0.0096
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","C4.5","Y","SMOTE",0.5747,0.0923,"M&H IR","camel-1.0",-0.0074,0.0997
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","C4.5","Y","SMOTE",0.7222,0.3922,"Low IR","camel-1.2",0.3928,-0.000599999999999989
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","C4.5","Y","SMOTE",0.7182,0.3913,"M&H IR","camel-1.4",0.3892,0.00209999999999999
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","C4.5","Y","SMOTE",0.7605,0.455,"M&H IR","camel-1.6",0.4161,0.0389
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","C4.5","Y","SMOTE",0.7118,0.3789,"Low IR","Eclipse_JDT_Core",0.4124,-0.0335
