"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC"
"ant-1.4",40,178,0.224719101,3.45,"CK","RF","Y","SMOTE",0.5809,0.1
"ant-1.4",40,178,0.224719101,3.45,"CK","Ripper","Y","SMOTE",0.4996,0.0057
"ant-1.4",40,178,0.224719101,3.45,"CK","SVM","Y","SMOTE",0.608,0.1852
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","MYSMOTE",0.6006,0.1176
"ant-1.4",40,178,0.224719101,3.45,"CK","IBk","Y","MYSMOTE",0.583,0.1086
"ant-1.4",40,178,0.224719101,3.45,"CK","LR","Y","MYSMOTE",0.519,0.0263
"ant-1.4",40,178,0.224719101,3.45,"CK","NB","Y","MYSMOTE",0.5716,0.0758
"ant-1.4",40,178,0.224719101,3.45,"CK","RF","Y","MYSMOTE",0.5743,0.0751
"ant-1.4",40,178,0.224719101,3.45,"CK","Ripper","Y","MYSMOTE",0.5795,0.0808
"ant-1.4",40,178,0.224719101,3.45,"CK","SVM","Y","MYSMOTE",0.5386,0.0503
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","UOS",0.5857,0.1536
"ant-1.4",40,178,0.224719101,3.45,"CK","IBk","Y","UOS",0.5926,0.1325
"ant-1.4",40,178,0.224719101,3.45,"CK","LR","Y","UOS",0.4579,0.0321
"ant-1.4",40,178,0.224719101,3.45,"CK","NB","Y","UOS",0.5842,0.0841
"ant-1.4",40,178,0.224719101,3.45,"CK","RF","Y","UOS",0.5878,0.1104
"ant-1.4",40,178,0.224719101,3.45,"CK","Ripper","Y","UOS",0.5851,0.1367
"ant-1.4",40,178,0.224719101,3.45,"CK","SVM","Y","UOS",0.5056,0.0112
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","US",0.5427,0.0905
"ant-1.4",40,178,0.224719101,3.45,"CK","IBk","Y","US",0.5566,0.0737
"ant-1.4",40,178,0.224719101,3.45,"CK","LR","Y","US",0.5082,0.0107
"ant-1.4",40,178,0.224719101,3.45,"CK","NB","Y","US",0.5314,0.0353
"ant-1.4",40,178,0.224719101,3.45,"CK","RF","Y","US",0.5543,0.0799
"ant-1.4",40,178,0.224719101,3.45,"CK","Ripper","Y","US",0.5488,0.0793
"ant-1.4",40,178,0.224719101,3.45,"CK","SVM","Y","US",0.5164,0.0295
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","N","NONE",0.668,0.3255
"ant-1.5",32,293,0.109215017,8.15625,"CK","IBk","N","NONE",0.7689,0.34
"ant-1.5",32,293,0.109215017,8.15625,"CK","LR","N","NONE",0.8332,0.1936
"ant-1.5",32,293,0.109215017,8.15625,"CK","NB","N","NONE",0.8299,0.4057
"ant-1.5",32,293,0.109215017,8.15625,"CK","RF","N","NONE",0.6801,0.3236
"ant-1.5",32,293,0.109215017,8.15625,"CK","Ripper","N","NONE",0.7308,0.4595
"ant-1.5",32,293,0.109215017,8.15625,"CK","SVM","N","NONE",0.5,0
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","OS",0.6426,0.2493
"ant-1.5",32,293,0.109215017,8.15625,"CK","IBk","Y","OS",0.7468,0.3044
"ant-1.5",32,293,0.109215017,8.15625,"CK","LR","Y","OS",0.84,0.3925
"ant-1.5",32,293,0.109215017,8.15625,"CK","NB","Y","OS",0.7802,0.3591
"ant-1.5",32,293,0.109215017,8.15625,"CK","RF","Y","OS",0.7127,0.3191
"ant-1.5",32,293,0.109215017,8.15625,"CK","Ripper","Y","OS",0.6754,0.3097
"ant-1.5",32,293,0.109215017,8.15625,"CK","SVM","Y","OS",0.7466,0.403
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","SMOTE",0.6862,0.3588
"ant-1.5",32,293,0.109215017,8.15625,"CK","IBk","Y","SMOTE",0.7742,0.3633
"ant-1.5",32,293,0.109215017,8.15625,"CK","LR","Y","SMOTE",0.8388,0.3901
"ant-1.5",32,293,0.109215017,8.15625,"CK","NB","Y","SMOTE",0.7733,0.243
"ant-1.5",32,293,0.109215017,8.15625,"CK","RF","Y","SMOTE",0.755,0.3291
"ant-1.5",32,293,0.109215017,8.15625,"CK","Ripper","Y","SMOTE",0.7301,0.3701
"ant-1.5",32,293,0.109215017,8.15625,"CK","SVM","Y","SMOTE",0.7451,0.3993
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","MYSMOTE",0.7953,0.3475
"ant-1.5",32,293,0.109215017,8.15625,"CK","IBk","Y","MYSMOTE",0.7846,0.2721
"ant-1.5",32,293,0.109215017,8.15625,"CK","LR","Y","MYSMOTE",0.8347,0.3947
"ant-1.5",32,293,0.109215017,8.15625,"CK","NB","Y","MYSMOTE",0.7874,0.3722
"ant-1.5",32,293,0.109215017,8.15625,"CK","RF","Y","MYSMOTE",0.7941,0.3478
"ant-1.5",32,293,0.109215017,8.15625,"CK","Ripper","Y","MYSMOTE",0.7982,0.3542
"ant-1.5",32,293,0.109215017,8.15625,"CK","SVM","Y","MYSMOTE",0.7553,0.3906
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","UOS",0.6767,0.2841
"ant-1.5",32,293,0.109215017,8.15625,"CK","IBk","Y","UOS",0.7532,0.2543
"ant-1.5",32,293,0.109215017,8.15625,"CK","LR","Y","UOS",0.8377,0.4009
"ant-1.5",32,293,0.109215017,8.15625,"CK","NB","Y","UOS",0.7766,0.3391
"ant-1.5",32,293,0.109215017,8.15625,"CK","RF","Y","UOS",0.7228,0.278
"ant-1.5",32,293,0.109215017,8.15625,"CK","Ripper","Y","UOS",0.7083,0.3094
"ant-1.5",32,293,0.109215017,8.15625,"CK","SVM","Y","UOS",0.7414,0.3921
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","US",0.696,0.2963
"ant-1.5",32,293,0.109215017,8.15625,"CK","IBk","Y","US",0.7469,0.236
"ant-1.5",32,293,0.109215017,8.15625,"CK","LR","Y","US",0.8287,0.3615
"ant-1.5",32,293,0.109215017,8.15625,"CK","NB","Y","US",0.7724,0.3616
"ant-1.5",32,293,0.109215017,8.15625,"CK","RF","Y","US",0.7252,0.2259
"ant-1.5",32,293,0.109215017,8.15625,"CK","Ripper","Y","US",0.7094,0.3047
"ant-1.5",32,293,0.109215017,8.15625,"CK","SVM","Y","US",0.7253,0.3684
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","N","NONE",0.7319,0.4712
"ant-1.6",92,351,0.262108262,2.815217391,"CK","IBk","N","NONE",0.7997,0.4968
"ant-1.6",92,351,0.262108262,2.815217391,"CK","LR","N","NONE",0.8357,0.4757
"ant-1.6",92,351,0.262108262,2.815217391,"CK","NB","N","NONE",0.8254,0.3825
"ant-1.6",92,351,0.262108262,2.815217391,"CK","RF","N","NONE",0.7827,0.4085
"ant-1.6",92,351,0.262108262,2.815217391,"CK","Ripper","N","NONE",0.7418,0.5022
"ant-1.6",92,351,0.262108262,2.815217391,"CK","SVM","N","NONE",0.6081,0.2991
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","OS",0.7194,0.4193
"ant-1.6",92,351,0.262108262,2.815217391,"CK","IBk","Y","OS",0.7837,0.4091
"ant-1.6",92,351,0.262108262,2.815217391,"CK","LR","Y","OS",0.8375,0.4914
"ant-1.6",92,351,0.262108262,2.815217391,"CK","NB","Y","OS",0.8274,0.4353
"ant-1.6",92,351,0.262108262,2.815217391,"CK","RF","Y","OS",0.7869,0.426
"ant-1.6",92,351,0.262108262,2.815217391,"CK","Ripper","Y","OS",0.7289,0.4334
"ant-1.6",92,351,0.262108262,2.815217391,"CK","SVM","Y","OS",0.7564,0.5153
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","SMOTE",0.7543,0.4625
"ant-1.6",92,351,0.262108262,2.815217391,"CK","IBk","Y","SMOTE",0.8077,0.4341
"ant-1.6",92,351,0.262108262,2.815217391,"CK","LR","Y","SMOTE",0.8409,0.4782
"ant-1.6",92,351,0.262108262,2.815217391,"CK","NB","Y","SMOTE",0.8251,0.4096
"ant-1.6",92,351,0.262108262,2.815217391,"CK","RF","Y","SMOTE",0.8045,0.4779
"ant-1.6",92,351,0.262108262,2.815217391,"CK","Ripper","Y","SMOTE",0.7568,0.4812
"ant-1.6",92,351,0.262108262,2.815217391,"CK","SVM","Y","SMOTE",0.7629,0.5228
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","MYSMOTE",0.823,0.4889
"ant-1.6",92,351,0.262108262,2.815217391,"CK","IBk","Y","MYSMOTE",0.8247,0.4639
"ant-1.6",92,351,0.262108262,2.815217391,"CK","LR","Y","MYSMOTE",0.8433,0.4977
"ant-1.6",92,351,0.262108262,2.815217391,"CK","NB","Y","MYSMOTE",0.8315,0.4608
"ant-1.6",92,351,0.262108262,2.815217391,"CK","RF","Y","MYSMOTE",0.8153,0.474
"ant-1.6",92,351,0.262108262,2.815217391,"CK","Ripper","Y","MYSMOTE",0.8281,0.497
"ant-1.6",92,351,0.262108262,2.815217391,"CK","SVM","Y","MYSMOTE",0.7869,0.5118
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","UOS",0.7276,0.4444
"ant-1.6",92,351,0.262108262,2.815217391,"CK","IBk","Y","UOS",0.7803,0.3997
"ant-1.6",92,351,0.262108262,2.815217391,"CK","LR","Y","UOS",0.8296,0.494
"ant-1.6",92,351,0.262108262,2.815217391,"CK","NB","Y","UOS",0.8167,0.4224
"ant-1.6",92,351,0.262108262,2.815217391,"CK","RF","Y","UOS",0.7716,0.4032
"ant-1.6",92,351,0.262108262,2.815217391,"CK","Ripper","Y","UOS",0.746,0.4517
"ant-1.6",92,351,0.262108262,2.815217391,"CK","SVM","Y","UOS",0.7475,0.5051
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","US",0.7405,0.4462
"ant-1.6",92,351,0.262108262,2.815217391,"CK","IBk","Y","US",0.7864,0.4405
"ant-1.6",92,351,0.262108262,2.815217391,"CK","LR","Y","US",0.831,0.4973
"ant-1.6",92,351,0.262108262,2.815217391,"CK","NB","Y","US",0.8219,0.4207
"ant-1.6",92,351,0.262108262,2.815217391,"CK","RF","Y","US",0.7694,0.3501
"ant-1.6",92,351,0.262108262,2.815217391,"CK","Ripper","Y","US",0.7511,0.4589
"ant-1.6",92,351,0.262108262,2.815217391,"CK","SVM","Y","US",0.7518,0.5133
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","N","NONE",0.5,0
"camel-1.0",13,339,0.038348083,25.07692308,"CK","IBk","N","NONE",0.6449,-0.0053
"camel-1.0",13,339,0.038348083,25.07692308,"CK","LR","N","NONE",0.7203,0.0047
"camel-1.0",13,339,0.038348083,25.07692308,"CK","NB","N","NONE",0.6374,0.1018
"camel-1.0",13,339,0.038348083,25.07692308,"CK","RF","N","NONE",0.5314,0.0014
"camel-1.0",13,339,0.038348083,25.07692308,"CK","Ripper","N","NONE",0.4988,-0.0031
"camel-1.0",13,339,0.038348083,25.07692308,"CK","SVM","N","NONE",0.5,0
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","OS",0.5091,0.0114
"camel-1.0",13,339,0.038348083,25.07692308,"CK","IBk","Y","OS",0.6053,0.0679
"camel-1.0",13,339,0.038348083,25.07692308,"CK","LR","Y","OS",0.7559,0.1723
"camel-1.0",13,339,0.038348083,25.07692308,"CK","NB","Y","OS",0.7196,0.1429
"camel-1.0",13,339,0.038348083,25.07692308,"CK","RF","Y","OS",0.5151,0.041
"camel-1.0",13,339,0.038348083,25.07692308,"CK","Ripper","Y","OS",0.5168,0.0249
"camel-1.0",13,339,0.038348083,25.07692308,"CK","SVM","Y","OS",0.6857,0.1915
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","SMOTE",0.5281,0.058
"camel-1.0",13,339,0.038348083,25.07692308,"CK","IBk","Y","SMOTE",0.6889,0.1281
"camel-1.0",13,339,0.038348083,25.07692308,"CK","LR","Y","SMOTE",0.7373,0.1222
"camel-1.0",13,339,0.038348083,25.07692308,"CK","NB","Y","SMOTE",0.603,0.1325
"camel-1.0",13,339,0.038348083,25.07692308,"CK","RF","Y","SMOTE",0.5994,0.0483
"camel-1.0",13,339,0.038348083,25.07692308,"CK","Ripper","Y","SMOTE",0.5665,0.0694
"camel-1.0",13,339,0.038348083,25.07692308,"CK","SVM","Y","SMOTE",0.6533,0.1626
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","MYSMOTE",0.7433,0.1329
"camel-1.0",13,339,0.038348083,25.07692308,"CK","IBk","Y","MYSMOTE",0.7641,0.1358
"camel-1.0",13,339,0.038348083,25.07692308,"CK","LR","Y","MYSMOTE",0.7731,0.1499
"camel-1.0",13,339,0.038348083,25.07692308,"CK","NB","Y","MYSMOTE",0.7855,0.1818
"camel-1.0",13,339,0.038348083,25.07692308,"CK","RF","Y","MYSMOTE",0.7215,0.1042
"camel-1.0",13,339,0.038348083,25.07692308,"CK","Ripper","Y","MYSMOTE",0.7549,0.1366
"camel-1.0",13,339,0.038348083,25.07692308,"CK","SVM","Y","MYSMOTE",0.7118,0.1944
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","UOS",0.5178,0.0173
"camel-1.0",13,339,0.038348083,25.07692308,"CK","IBk","Y","UOS",0.5986,0.0651
"camel-1.0",13,339,0.038348083,25.07692308,"CK","LR","Y","UOS",0.7434,0.1774
"camel-1.0",13,339,0.038348083,25.07692308,"CK","NB","Y","UOS",0.7556,0.1996
"camel-1.0",13,339,0.038348083,25.07692308,"CK","RF","Y","UOS",0.5632,0.0408
"camel-1.0",13,339,0.038348083,25.07692308,"CK","Ripper","Y","UOS",0.5438,0.0433
"camel-1.0",13,339,0.038348083,25.07692308,"CK","SVM","Y","UOS",0.7,0.2117
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","US",0.6094,0.0938
"camel-1.0",13,339,0.038348083,25.07692308,"CK","IBk","Y","US",0.6589,0.1258
"camel-1.0",13,339,0.038348083,25.07692308,"CK","LR","Y","US",0.6897,0.1283
"camel-1.0",13,339,0.038348083,25.07692308,"CK","NB","Y","US",0.6736,0.1278
"camel-1.0",13,339,0.038348083,25.07692308,"CK","RF","Y","US",0.5971,0.0654
"camel-1.0",13,339,0.038348083,25.07692308,"CK","Ripper","Y","US",0.6343,0.1144
"camel-1.0",13,339,0.038348083,25.07692308,"CK","SVM","Y","US",0.6092,0.1461
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","N","NONE",0.5153,0.0254
"camel-1.2",216,608,0.355263158,1.814814815,"CK","IBk","N","NONE",0.5136,0.0641
"camel-1.2",216,608,0.355263158,1.814814815,"CK","LR","N","NONE",0.5264,0.0744
"camel-1.2",216,608,0.355263158,1.814814815,"CK","NB","N","NONE",0.5603,0.0749
"camel-1.2",216,608,0.355263158,1.814814815,"CK","RF","N","NONE",0.5215,0.054
"camel-1.2",216,608,0.355263158,1.814814815,"CK","Ripper","N","NONE",0.5114,0.0455
"camel-1.2",216,608,0.355263158,1.814814815,"CK","SVM","N","NONE",0.5048,0.0342
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","OS",0.5438,0.0659
"camel-1.2",216,608,0.355263158,1.814814815,"CK","IBk","Y","OS",0.5823,0.1061
"camel-1.2",216,608,0.355263158,1.814814815,"CK","LR","Y","OS",0.5631,0.0975
"camel-1.2",216,608,0.355263158,1.814814815,"CK","NB","Y","OS",0.5649,0.1494
"camel-1.2",216,608,0.355263158,1.814814815,"CK","RF","Y","OS",0.5668,0.0851
"camel-1.2",216,608,0.355263158,1.814814815,"CK","Ripper","Y","OS",0.5273,0.0417
"camel-1.2",216,608,0.355263158,1.814814815,"CK","SVM","Y","OS",0.539,0.1195
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","SMOTE",0.5298,0.0289
"camel-1.2",216,608,0.355263158,1.814814815,"CK","IBk","Y","SMOTE",0.5783,0.0858
"camel-1.2",216,608,0.355263158,1.814814815,"CK","LR","Y","SMOTE",0.5521,0.0823
"camel-1.2",216,608,0.355263158,1.814814815,"CK","NB","Y","SMOTE",0.5723,0.1235
"camel-1.2",216,608,0.355263158,1.814814815,"CK","RF","Y","SMOTE",0.5801,0.1007
"camel-1.2",216,608,0.355263158,1.814814815,"CK","Ripper","Y","SMOTE",0.5336,0.049
"camel-1.2",216,608,0.355263158,1.814814815,"CK","SVM","Y","SMOTE",0.528,0.0895
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","MYSMOTE",0.5783,0.0945
"camel-1.2",216,608,0.355263158,1.814814815,"CK","IBk","Y","MYSMOTE",0.6008,0.119
"camel-1.2",216,608,0.355263158,1.814814815,"CK","LR","Y","MYSMOTE",0.5669,0.0919
"camel-1.2",216,608,0.355263158,1.814814815,"CK","NB","Y","MYSMOTE",0.5628,0.1658
"camel-1.2",216,608,0.355263158,1.814814815,"CK","RF","Y","MYSMOTE",0.5865,0.0857
"camel-1.2",216,608,0.355263158,1.814814815,"CK","Ripper","Y","MYSMOTE",0.5689,0.0879
"camel-1.2",216,608,0.355263158,1.814814815,"CK","SVM","Y","MYSMOTE",0.539,0.1162
